age,marital,default,housing,loan,day,month,campaign,pdays,previous,job_indexed,education_indexed,balance_normalized,duration_normalized,term_deposit
37,1,0,1,0,5,5,1,-1,0,3,0,0.357798165,0.245080501,0
44,0,0,1,0,5,5,1,-1,0,4,0,0.950917431,0.286225403,0
50,2,0,1,0,5,5,2,-1,0,1,0,0.369036697,0.322003578,0
60,2,0,1,0,5,5,1,-1,0,0,3,0.381651376,0.039355993,0
54,2,0,1,0,5,5,1,-1,0,5,0,0.47912844,1,0
58,2,0,1,0,5,5,1,-1,0,5,3,0.379816514,1,0
36,1,0,1,0,5,5,1,-1,0,3,2,0.318577982,0.432915921,0
58,2,0,1,0,5,5,1,-1,0,6,1,0.274311927,0.635062612,0
44,2,0,1,0,5,5,2,-1,0,2,0,0.357798165,0.402504472,0
55,0,0,0,0,5,5,1,-1,0,2,0,0.357798165,0.286225403,0
29,1,0,1,0,5,5,1,-1,0,1,1,0.357798165,0.649373882,0
54,2,0,1,0,5,5,1,-1,0,0,0,0.653899083,0.475849732,0
48,0,0,1,0,5,5,1,-1,0,1,1,0.301834862,0.452593918,0
32,2,0,1,0,5,5,1,-1,0,1,1,0.357798165,0.320214669,0
42,1,0,1,0,5,5,1,-1,0,3,0,0.340366972,1,0
24,1,0,1,1,5,5,1,-1,0,2,0,0.334174312,0.259391771,0
38,1,0,0,1,5,5,1,-1,0,7,1,0.41353211,0.311270125,0
38,1,0,1,0,5,5,1,-1,0,1,1,0.455045872,0.186046512,0
47,2,0,1,0,5,5,1,-1,0,0,3,0.427981651,0.023255814,0
40,1,0,1,0,5,5,1,-1,0,0,3,0.363302752,0.330948122,0
46,2,0,1,0,5,5,1,-1,0,4,2,0.398853211,1,0
32,2,0,1,0,5,5,1,-1,0,3,1,0.357798165,0.24686941,0
53,0,0,1,0,5,5,1,-1,0,2,0,0.584633028,1,0
57,2,0,1,0,5,5,1,-1,0,0,2,0.414908257,0.293381038,0
33,2,0,1,0,5,5,1,-1,0,4,0,0.538990826,0.699463327,0
49,2,0,1,0,5,5,1,-1,0,0,3,0.393119266,0.638640429,0
51,2,0,1,0,5,5,1,-1,0,1,1,1,0.162790698,0
60,2,0,0,0,5,5,1,-1,0,5,1,0.380733945,0.944543828,0
59,0,0,1,0,5,5,1,-1,0,1,1,0.371330275,0.488372093,0
55,2,0,1,0,5,5,2,-1,0,2,0,0.634174312,0.282647585,0
35,1,0,1,1,5,5,1,-1,0,0,0,1,0.316636852,0
57,2,0,1,1,5,5,1,-1,0,0,0,1,0.461538462,0
31,2,0,1,1,5,5,1,-1,0,4,0,0.36353211,0.307692308,0
54,2,0,1,1,5,5,1,-1,0,1,0,0.422477064,0.27549195,0
55,2,0,1,0,5,5,1,-1,0,0,2,0.363073394,0.520572451,0
43,2,0,1,0,5,5,1,-1,0,2,0,0.80206422,0.323792487,0
53,2,0,1,0,5,5,1,-1,0,2,0,0.44587156,0.314847943,0
44,2,0,0,1,5,5,1,-1,0,0,0,0.491284404,0.37745975,0
55,0,0,0,0,5,5,1,-1,0,4,0,0.378669725,0.624329159,0
49,0,0,1,1,5,5,1,-1,0,4,0,0.357798165,0.486583184,0
55,0,1,1,0,5,5,1,-1,0,4,0,0.358027523,0.372093023,0
45,1,0,1,0,5,5,1,-1,0,3,0,0.405045872,0.345259392,0
47,0,0,0,0,5,5,1,-1,0,4,0,0.395412844,0.379248658,0
42,1,0,1,0,5,5,1,-1,0,2,0,0.516055046,0.035778175,0
59,2,0,1,0,5,5,1,-1,0,3,0,0.895183486,1,1
46,2,0,1,1,5,5,1,-1,0,6,1,0.389220183,0.440071556,0
51,2,0,1,0,5,5,2,-1,0,0,2,0.397477064,0.946332737,0
56,2,0,0,0,5,5,1,-1,0,3,0,0.368119266,1,1
41,2,0,1,0,5,5,1,-1,0,2,0,0.649082569,1,1
46,0,0,1,1,5,5,2,-1,0,1,0,0.36146789,0.336314848,0
57,2,0,1,0,5,5,2,-1,0,5,0,0.469266055,0.322003578,0
42,1,0,0,0,5,5,1,-1,0,1,0,0.369266055,0.085867621,0
30,2,0,1,1,5,5,2,-1,0,2,0,0.39266055,0.381037567,0
60,2,0,1,0,5,5,1,-1,0,3,0,0.424311927,1,0
60,2,0,1,0,5,5,1,-1,0,0,3,0.370183486,0.395348837,0
57,0,0,0,0,5,5,1,-1,0,7,0,0.349311927,0.309481216,0
36,2,0,1,1,5,5,1,-1,0,1,1,0.380963303,0.762075134,0
55,2,0,0,0,5,5,1,-1,0,0,0,0.445642202,0.513416816,0
60,2,0,1,0,5,5,1,-1,0,5,1,0.376376147,0.180679785,0
39,2,0,1,0,5,5,1,-1,0,2,0,0.357798165,0.363148479,0
46,2,0,1,0,5,5,1,-1,0,1,1,0.410321101,0.352415027,0
44,2,0,1,0,5,5,1,-1,0,0,0,0.203211009,0.459749553,0
53,2,0,0,0,5,5,1,-1,0,0,2,0.378440367,0.221824687,0
52,2,0,1,0,5,5,1,-1,0,0,2,0.387155963,0.409660107,0
59,2,0,1,0,5,5,3,-1,0,0,2,0.398853211,0.098389982,0
27,1,0,1,0,5,5,1,-1,0,2,1,0.357798165,0.715563506,0
44,2,0,1,0,5,5,1,-1,0,0,0,0.370183486,0.352415027,0
47,2,0,1,0,5,5,1,-1,0,2,1,0.392431193,0.339892665,0
34,2,0,0,1,5,5,1,-1,0,3,0,0.371788991,0.037567084,0
59,1,0,1,0,5,5,1,-1,0,5,0,0.364678899,0.919499106,0
45,2,0,1,0,5,5,2,-1,0,1,1,0.477752294,1,0
29,0,0,1,0,5,5,1,-1,0,4,0,0.364908257,0.347048301,0
46,0,0,0,0,5,5,1,-1,0,2,0,0.375917431,0.257602862,0
56,2,0,1,1,5,5,2,-1,0,6,2,0.35,0.379248658,0
36,2,0,1,0,5,5,1,-1,0,0,2,0.460550459,0.511627907,0
59,0,0,1,0,5,5,1,-1,0,5,2,0.376376147,0.191413238,0
44,2,0,1,0,5,5,2,-1,0,0,0,0.390825688,0.441860465,0
41,2,0,1,0,5,5,1,-1,0,3,0,0.438302752,0.926654741,0
33,1,0,1,0,5,5,1,-1,0,1,1,0.342431193,0.651162791,0
59,0,0,0,0,5,5,1,-1,0,1,1,0.417889908,0.31842576,0
57,2,0,0,0,5,5,1,-1,0,2,2,0.357798165,0.175313059,0
56,0,0,1,0,5,5,1,-1,0,2,3,0.370642202,0.785330948,0
51,2,0,1,0,5,5,1,-1,0,0,0,0.363761468,0.141323792,0
34,2,0,1,0,5,5,3,-1,0,3,3,0.358486239,0.214669052,0
43,2,0,1,1,5,5,2,-1,0,4,0,0.367201835,0.227191413,0
52,2,0,0,1,5,5,1,-1,0,2,1,0.35940367,0.313059034,0
33,1,0,1,0,5,5,2,-1,0,2,0,0.381880734,0.468694097,0
29,1,0,1,1,5,5,1,-1,0,3,0,0.545412844,0.109123435,0
34,2,0,1,1,5,5,1,-1,0,4,0,0.35412844,0.139534884,0
31,2,0,1,0,5,5,1,-1,0,0,0,0.357798165,0.255813953,0
55,2,0,1,0,5,5,1,-1,0,4,0,0.925688073,1,1
55,2,0,0,0,5,5,1,-1,0,1,3,0.629587156,1,0
32,1,0,1,0,5,5,1,-1,0,3,0,0.407568807,0.617173524,0
38,1,0,1,0,5,5,1,-1,0,2,0,0.744266055,0.330948122,0
55,1,0,1,1,5,5,2,-1,0,3,0,0.541743119,0.178890877,0
28,1,0,1,0,5,5,2,-1,0,8,1,0.357798165,0.223613596,0
23,2,0,1,0,5,5,1,-1,0,0,0,0.379357798,0.345259392,0
32,1,0,1,0,5,5,1,-1,0,2,0,0.357798165,0.243291592,0
43,1,0,0,0,5,5,1,-1,0,4,3,0.357798165,0.13059034,0
32,2,0,1,0,5,5,1,-1,0,0,0,0.476376147,0.944543828,0
46,2,0,1,0,5,5,1,-1,0,0,0,0.418577982,0.967799642,0
53,0,0,1,0,5,5,1,-1,0,9,2,0.575,0.291592129,0
34,1,0,1,0,5,5,1,-1,0,6,0,0.358486239,0.538461538,0
57,2,0,0,0,5,5,1,-1,0,8,1,0.367431193,0.082289803,0
37,2,0,1,0,5,5,1,-1,0,0,0,0.366284404,0.364937388,0
59,2,0,1,0,5,5,1,-1,0,0,0,0.37087156,0.175313059,0
33,2,0,1,0,5,5,1,-1,0,4,0,0.362844037,0.127012522,0
56,0,0,1,0,5,5,2,-1,0,0,2,0.359633028,0.280858676,0
48,2,0,1,0,5,5,1,-1,0,8,0,0.425,0.43470483,0
43,2,0,1,0,5,5,2,-1,0,4,2,0.358486239,0.33273703,0
54,2,0,1,0,5,5,2,-1,0,0,2,0.437614679,1,0
51,2,0,1,0,5,5,2,-1,0,0,3,0.353440367,0.291592129,0
26,1,0,1,0,5,5,2,-1,0,10,0,0.357798165,1,0
40,2,0,1,0,5,5,1,-1,0,1,1,0.356880734,1,0
39,2,0,1,0,5,5,1,-1,0,1,0,0.361926606,0.152057245,0
50,2,0,0,0,5,5,2,-1,0,2,2,0.389678899,0.203935599,0
41,2,0,1,0,5,5,2,-1,0,4,0,0.357798165,0.203935599,0
51,2,0,1,0,5,5,1,-1,0,0,3,0.789678899,0.1019678,0
60,0,0,1,0,5,5,1,-1,0,5,0,0.40733945,0.425760286,0
52,2,0,1,0,5,5,3,-1,0,0,0,0.537155963,0.166368515,0
48,2,0,1,0,5,5,2,-1,0,0,0,0.565137615,0.228980322,0
48,2,0,1,0,5,5,1,-1,0,4,3,0.748853211,0.191413238,0
39,1,0,1,0,5,5,1,-1,0,2,1,0.368577982,0.323792487,0
47,1,0,1,0,5,5,2,-1,0,4,0,0.398165138,0.542039356,0
40,2,0,1,0,5,5,5,-1,0,0,0,0.638761468,0.998211091,0
45,2,0,1,0,5,5,1,-1,0,2,0,0.377522936,0.483005367,0
26,1,0,1,0,5,5,1,-1,0,3,0,0.376605505,0.407871199,0
52,2,0,1,0,5,5,1,-1,0,1,1,0.419954128,0.177101968,0
54,2,0,1,0,5,5,1,-1,0,2,0,0.673853211,0.429338104,0
54,2,0,0,0,5,5,2,-1,0,3,1,0.4,1,1
50,2,0,0,0,5,5,3,-1,0,0,2,0.357798165,0.416815742,0
35,2,0,1,0,5,5,1,-1,0,0,0,0.357798165,1,0
44,2,0,1,1,5,5,1,-1,0,4,0,0.669036697,0.447227191,0
53,2,0,1,0,5,5,1,-1,0,7,3,0.362155963,0.450805009,0
35,1,0,0,0,5,5,1,-1,0,5,2,0.45733945,0.24686941,0
60,0,0,1,0,5,5,1,-1,0,3,0,0.378899083,0.23255814,0
53,0,0,1,0,5,5,1,-1,0,3,0,0.621788991,0.737030411,0
48,2,0,1,0,5,5,2,-1,0,8,0,0.367201835,0.320214669,0
34,2,0,1,0,5,5,2,-1,0,2,0,0.369495413,0.033989267,0
54,2,0,1,0,5,5,2,-1,0,4,0,0.406880734,0.819320215,0
51,2,0,1,0,5,5,1,-1,0,1,0,0.624082569,1,0
31,2,0,1,0,5,5,1,-1,0,4,1,0.366284404,0.559928444,0
35,0,0,1,0,5,5,2,-1,0,2,0,0.538302752,1,0
35,2,0,1,0,5,5,1,-1,0,4,0,0.371330275,1,0
38,2,0,1,0,5,5,1,-1,0,2,0,0.415825688,0.744186047,0
36,2,0,1,0,5,5,2,-1,0,3,1,0.406192661,0.26118068,0
58,2,0,1,0,5,5,1,-1,0,5,2,0.411697248,0.298747764,0
40,0,0,1,0,5,5,1,-1,0,4,3,1,0.563506261,0
54,2,0,0,0,5,5,1,-1,0,1,0,1,0.250447227,0
34,1,0,1,1,5,5,1,-1,0,0,0,0.369954128,0.618962433,0
31,1,0,1,0,5,5,1,-1,0,1,1,0.357798165,1,0
51,2,0,1,0,5,5,1,-1,0,5,0,0.845642202,0.307692308,0
33,2,0,1,0,5,5,1,-1,0,1,1,0.444266055,0.388193202,0
55,2,0,1,0,5,5,2,-1,0,1,1,0.374541284,0.254025045,0
42,2,0,1,0,5,5,1,-1,0,3,0,0.459862385,0.119856887,0
34,2,0,1,0,5,5,1,-1,0,0,0,0.41353211,0.520572451,0
33,1,0,1,0,5,5,2,-1,0,0,0,0.428211009,0.552772809,0
38,2,0,1,0,5,5,1,-1,0,4,0,0.393348624,0.443649374,0
50,0,0,0,1,5,5,1,-1,0,2,1,0.397477064,0.175313059,0
43,2,0,1,0,5,5,1,-1,0,1,1,0.449541284,0.457960644,0
61,0,0,1,0,5,5,2,-1,0,0,2,0.685321101,0.146690519,0
47,2,0,1,0,5,5,1,-1,0,3,0,0.408027523,1,0
48,2,0,1,0,5,5,1,-1,0,6,1,0.35940367,0.511627907,0
44,2,0,1,0,5,5,1,-1,0,0,0,0.489678899,0.853309481,0
35,1,0,1,0,5,5,2,-1,0,10,3,0.426146789,1,0
35,2,0,1,0,5,5,1,-1,0,4,0,0.357798165,0.842576029,0
50,2,0,1,0,5,5,2,-1,0,4,0,1,0.68157424,0
41,2,0,1,1,5,5,1,-1,0,1,1,0.398165138,0.075134168,0
41,2,0,1,0,5,5,1,-1,0,1,1,0.476376147,0.4490161,0
39,1,0,1,0,5,5,1,-1,0,4,3,0.416743119,0.729874776,0
42,2,0,1,0,5,5,1,-1,0,5,0,0.370642202,0.384615385,0
38,2,0,1,0,5,5,1,-1,0,0,0,0.268348624,0.513416816,0
53,2,0,1,0,5,5,2,-1,0,5,0,0.433486239,0.386404293,0
59,0,0,0,0,5,5,2,-1,0,9,2,0.402522936,0.654740608,0
36,2,0,1,0,5,5,1,-1,0,4,0,0.426834862,0.375670841,0
54,2,0,1,0,5,5,1,-1,0,0,2,0.348394495,0.515205725,0
40,2,0,1,0,5,5,1,-1,0,2,1,0.468577982,0.300536673,0
47,2,0,0,0,5,5,2,-1,0,11,3,0.364220183,0.604651163,0
53,2,0,0,0,5,5,3,-1,0,8,3,0.360779817,0.733452594,0
46,2,0,0,0,5,5,1,-1,0,9,2,0.57912844,0.316636852,0
39,2,0,1,1,5,5,2,-1,0,1,1,0.444495413,0.227191413,0
40,2,0,1,0,5,5,1,-1,0,8,0,0.408027523,0.638640429,0
28,2,0,1,0,5,5,1,-1,0,0,2,0.432110092,0.313059034,0
35,0,0,1,0,5,5,1,-1,0,7,0,0.341972477,0.53667263,0
55,2,0,0,1,5,5,1,-1,0,5,0,0.357798165,0.243291592,0
43,0,0,1,0,5,5,1,-1,0,2,3,0.404816514,1,0
48,2,0,1,0,5,5,2,-1,0,0,2,0.421559633,0.223613596,0
58,2,0,1,0,5,5,3,-1,0,1,3,0.60206422,0.381037567,0
33,1,0,1,0,5,5,1,-1,0,1,1,0.36559633,0.048300537,0
36,2,0,0,0,5,5,2,-1,0,0,3,0.594724771,0.425760286,0
53,0,0,1,0,5,5,1,-1,0,4,0,0.694266055,0.221824687,0
47,2,0,1,0,5,5,1,-1,0,0,2,0.355045872,0.032200358,0
31,2,0,1,0,5,5,2,-1,0,4,0,0.446788991,1,0
57,2,0,1,0,5,5,2,-1,0,7,0,0.425229358,1,0
53,2,0,0,0,5,5,1,-1,0,0,3,0.776834862,0.216457961,0
55,2,0,1,0,5,5,1,-1,0,0,2,0.501605505,0.441860465,0
45,2,0,1,0,5,5,1,-1,0,0,2,0.36353211,0.071556351,0
53,0,0,1,0,5,5,2,-1,0,3,0,0.430045872,0.323792487,0
37,2,0,1,0,5,5,1,-1,0,0,2,0.357798165,0.141323792,0
44,0,0,1,0,5,5,1,-1,0,3,0,0.37293578,0.368515206,0
49,0,0,1,1,5,5,1,-1,0,0,2,0.355733945,0.69588551,0
46,2,0,1,1,5,5,1,-1,0,2,0,0.437844037,0.227191413,0
43,2,0,1,0,5,5,1,-1,0,7,3,0.380733945,1,0
38,2,0,0,0,5,5,1,-1,0,3,0,0.357798165,0.270125224,0
43,2,0,1,0,5,5,1,-1,0,2,0,0.45733945,0.209302326,0
49,2,0,1,0,5,5,3,-1,0,1,1,1,0.415026834,0
42,2,0,0,0,5,5,2,-1,0,1,3,0.42087156,0.729874776,0
22,1,0,1,0,5,5,2,-1,0,0,0,0.357798165,0.320214669,0
40,2,0,1,0,5,5,1,-1,0,1,1,0.405275229,0.069767442,0
39,2,0,1,0,5,5,1,-1,0,0,0,0.468577982,0.504472272,0
51,2,0,1,0,5,5,2,-1,0,4,0,0.873394495,1,0
49,2,0,1,0,5,5,1,-1,0,3,0,0.455963303,0.089445438,0
53,2,0,1,1,5,5,1,-1,0,0,0,0.357798165,0.323792487,0
34,1,0,1,0,5,5,1,-1,0,4,0,0.357798165,0.254025045,0
33,0,0,1,0,5,5,1,-1,0,2,0,0.389908257,0.40608229,0
50,1,0,1,0,5,5,1,-1,0,1,1,0.425917431,0.212880143,0
39,2,0,1,0,5,5,1,-1,0,0,2,0.421788991,0.645796064,0
59,0,0,1,0,5,5,3,-1,0,7,0,0.564449541,0.13059034,0
30,1,0,1,0,5,5,2,-1,0,2,0,0.94793578,0.119856887,0
36,2,0,1,1,5,5,1,-1,0,4,0,0.39059633,0.626118068,0
40,2,0,1,0,5,5,2,-1,0,0,0,0.466743119,0.59391771,0
53,2,0,1,0,5,5,2,-1,0,0,0,0.373853211,1,0
34,1,0,1,0,5,5,2,-1,0,1,1,0.430733945,0.202146691,0
37,2,0,1,0,5,5,1,-1,0,2,0,0.42087156,0.236135957,0
42,0,0,1,0,5,5,3,-1,0,1,1,0.527981651,0.103756708,0
41,2,0,1,0,5,5,1,-1,0,7,2,0.411926606,0.270125224,0
30,1,0,1,0,5,5,2,-1,0,10,1,0.36353211,0.15921288,0
37,1,0,1,0,5,5,1,-1,0,1,1,0.495412844,0.271914132,0
39,0,0,1,0,5,5,2,-1,0,3,0,0.277752294,1,0
41,2,0,1,1,5,5,2,-1,0,0,2,0.399770642,0.196779964,0
40,2,0,1,0,5,5,1,-1,0,0,2,0.357798165,0.828264758,0
42,1,0,1,1,5,5,2,-1,0,1,1,0.357798165,1,1
40,0,0,1,0,5,5,1,-1,0,0,2,0.357798165,1,0
57,2,0,1,0,5,5,4,-1,0,2,0,0.605045872,0.017889088,0
56,0,0,0,0,5,5,3,-1,0,7,0,0.393348624,0.211091234,0
37,2,0,1,0,5,5,2,-1,0,3,0,0.401376147,0.164579606,0
59,2,0,1,0,5,5,3,-1,0,5,0,0.430963303,0.255813953,0
39,0,0,1,0,5,5,3,-1,0,4,0,0.315366972,0.338103757,0
49,2,0,0,0,5,5,2,-1,0,4,0,0.368577982,0.418604651,0
38,1,0,1,0,5,5,2,-1,0,4,0,0.48853211,0.134168157,0
36,2,0,0,0,5,5,2,-1,0,6,1,0.362155963,0.338103757,0
50,2,0,1,0,5,5,3,-1,0,0,2,0.371788991,1,0
41,2,0,1,1,5,5,2,-1,0,3,0,0.343577982,0.098389982,0
54,2,0,0,0,5,5,4,-1,0,2,1,0.416972477,0.554561717,0
58,2,0,1,0,5,5,2,-1,0,0,2,0.375229358,0.279069767,0
30,1,0,1,0,5,5,2,-1,0,0,0,0.357798165,0.008944544,0
33,1,0,1,0,5,5,2,-1,0,3,0,0.43853211,0.402504472,0
47,2,0,1,0,5,5,2,-1,0,3,0,0.442201835,0.223613596,0
50,1,0,1,0,5,5,3,-1,0,2,1,0.435550459,0.003577818,0
32,2,0,1,0,5,5,2,-1,0,0,0,0.663073394,0.511627907,0
40,2,0,1,0,5,5,2,-1,0,6,0,0.511926606,0.293381038,0
37,2,0,1,0,5,5,2,-1,0,1,1,0.371100917,0.175313059,0
54,1,0,1,0,5,5,2,-1,0,2,3,0.460321101,1,0
24,1,0,1,0,5,5,3,-1,0,10,0,0.454816514,0.404293381,0
54,2,0,0,0,5,5,2,-1,0,1,1,0.357798165,0.214669052,0
34,2,0,1,0,5,5,4,-1,0,2,0,0.362155963,0.647584973,0
56,0,0,1,0,5,5,2,-1,0,2,2,0.360779817,0.638640429,0
31,1,0,1,0,5,5,2,-1,0,0,0,0.358486239,0.357781753,0
24,1,0,1,0,5,5,2,-1,0,10,0,0.376605505,0.364937388,0
42,0,0,1,0,5,5,3,-1,0,0,2,0.364220183,0.225402504,0
57,2,0,1,0,5,5,2,-1,0,2,0,0.539449541,0.11627907,0
42,2,0,1,0,5,5,2,-1,0,0,3,0.451376147,0.191413238,0
51,2,0,1,0,5,5,2,-1,0,3,0,0.479587156,0.47763864,0
57,2,0,1,0,5,5,2,-1,0,5,0,0.406192661,0.443649374,0
36,1,0,1,0,5,5,2,-1,0,4,0,0.372018349,0.384615385,0
53,2,0,1,0,5,5,2,-1,0,4,3,0.416743119,0.373881932,0
50,2,0,1,0,5,5,2,-1,0,2,0,0.640825688,0.366726297,0
54,2,0,1,0,5,5,2,-1,0,1,1,0.429587156,0.148479428,0
55,2,0,1,0,5,5,3,-1,0,0,0,0.378211009,0.189624329,0
44,2,0,1,1,5,5,2,-1,0,0,0,0.387385321,0.338103757,0
43,2,0,1,0,5,5,2,-1,0,1,3,0.357798165,0.18783542,0
56,2,0,1,0,5,5,2,-1,0,3,0,0.438761468,0.189624329,0
54,2,0,1,0,5,5,2,-1,0,2,3,0.552981651,0.193202147,0
55,0,0,1,1,5,5,2,-1,0,4,2,0.379816514,0.556350626,0
37,0,0,1,1,5,5,2,-1,0,4,0,0.449082569,0.382826476,0
33,1,0,0,0,5,5,2,-1,0,3,1,0.40206422,0.236135957,0
46,2,0,1,0,5,5,2,-1,0,3,0,0.275688073,0.640429338,0
36,2,0,1,1,5,5,2,-1,0,0,0,0.481422018,0.810375671,0
51,1,0,1,0,5,5,2,-1,0,2,0,0.357798165,0.651162791,0
40,1,0,0,0,5,5,2,-1,0,5,2,0.357798165,0.243291592,0
42,2,0,1,0,5,5,2,-1,0,0,0,0.470183486,0.690518784,0
51,2,0,1,0,5,5,2,-1,0,0,0,0.357798165,0.309481216,0
49,2,0,1,0,5,5,2,-1,0,0,3,0.450229358,0.431127013,0
48,2,0,1,0,5,5,3,-1,0,1,0,0.394724771,0.400715564,0
32,0,0,0,0,5,5,2,-1,0,2,1,0.944495413,0.264758497,0
31,1,0,1,0,5,5,2,-1,0,3,0,0.380275229,0.350626118,0
55,1,0,0,0,5,5,4,-1,0,1,1,0.384174312,0.198568873,0
40,1,0,1,0,5,5,3,-1,0,0,0,0.457798165,0.413237925,0
47,2,0,1,0,5,5,3,-1,0,2,1,0.548394495,0.56529517,0
57,2,0,1,0,5,5,3,-1,0,2,3,0.405045872,0.386404293,0
41,2,0,1,0,5,5,2,-1,0,0,0,0.424311927,0.429338104,0
48,2,0,0,0,5,5,3,-1,0,0,0,0.358027523,1,0
42,2,0,1,0,5,5,2,-1,0,0,3,0.37087156,0.760286225,0
30,1,0,1,0,5,5,2,-1,0,0,0,0.252981651,0.255813953,0
58,1,0,1,0,5,5,5,-1,0,1,1,0.675917431,0.311270125,0
45,0,0,1,0,5,5,3,-1,0,1,1,1,0.559928444,0
49,2,0,1,0,5,5,4,-1,0,0,0,0.364678899,0.241502683,0
42,1,0,1,0,5,5,2,-1,0,3,0,0.592201835,0.26118068,0
53,2,0,1,1,5,5,2,-1,0,2,0,0.370642202,0.271914132,0
51,1,1,0,0,5,5,3,-1,0,3,0,0.35733945,0.719141324,0
32,1,0,1,0,5,5,2,-1,0,4,0,0.385550459,0.381037567,0
41,1,0,1,0,5,5,3,-1,0,0,0,0.550917431,0.257602862,0
43,0,0,1,0,5,5,3,-1,0,1,0,0.516743119,0.221824687,0
40,0,0,1,0,5,5,2,-1,0,0,0,0.281422018,0.327370304,0
50,2,0,1,0,5,5,2,-1,0,0,2,0.70940367,0.581395349,0
34,2,0,1,0,5,5,4,-1,0,1,1,0.368348624,0.069767442,0
53,2,0,0,0,5,5,2,-1,0,4,3,0.361926606,0.899821109,0
45,2,0,1,0,5,5,4,-1,0,2,0,0.367889908,0.169946333,0
39,2,0,1,0,5,5,2,-1,0,0,2,0.334862385,1,0
44,2,0,1,0,5,5,4,-1,0,4,1,0.474770642,0.75313059,0
55,2,0,1,0,5,5,3,-1,0,1,1,0.514908257,0.311270125,0
46,1,0,1,0,5,5,2,-1,0,1,1,0.400688073,0.202146691,0
45,2,0,1,0,5,5,2,-1,0,0,0,0.37293578,1,0
34,2,0,1,0,5,5,3,-1,0,3,0,0.486238532,0.354203936,0
36,2,0,1,0,5,5,2,-1,0,0,0,0.357798165,0.348837209,0
59,0,0,0,0,5,5,3,-1,0,11,3,0.363990826,0.620751342,0
31,1,0,1,0,5,5,2,-1,0,3,0,0.360550459,0.372093023,0
44,1,0,1,0,5,5,4,-1,0,0,0,0.36559633,0.722719141,0
33,1,0,1,0,5,5,2,-1,0,7,1,0.602752294,0.708407871,0
40,2,0,1,0,5,5,4,-1,0,0,0,0.406192661,0.386404293,0
46,1,0,1,0,5,5,2,-1,0,3,1,0.444266055,0.175313059,0
48,2,0,1,0,5,5,2,-1,0,1,1,0.418119266,0.626118068,0
